"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"08:46:57.3048708 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Syria Standard Time\MUI_Std","SUCCESS","Type: REG_SZ, Length: 34, Data: @tzres.dll,-1412"
"08:46:57.3048864 AM","DllHost.exe","27228","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\MUI\StringCacheSettings","REPARSE","Desired Access: Query Value"
"08:46:57.3049002 AM","DllHost.exe","27228","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS","Desired Access: Query Value"
"08:46:57.3049157 AM","DllHost.exe","27228","RegQueryValue","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings\StringCacheGeneration","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4373"
"08:46:57.3049277 AM","DllHost.exe","27228","RegCloseKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS",""
"08:46:57.3049466 AM","DllHost.exe","27228","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"08:46:57.3049601 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","REPARSE","Desired Access: Read/Write"
"08:46:57.3049715 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS","Desired Access: Read/Write"
"08:46:57.3049847 AM","DllHost.exe","27228","RegCloseKey","HKCU","SUCCESS",""
"08:46:57.3051926 AM","DllHost.exe","27228","RegQueryValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-1412","NAME NOT FOUND","Length: 532"
"08:46:57.3055613 AM","DllHost.exe","27228","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS","Desired Access: Read"
"08:46:57.3055774 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
